LeadSource,JobRole,ContactNotes,LeadProfile,UsedPromo,DoNotReachOut,Region,Converted,Lead_ProspectID
Organic,Marketing,NeedsCaseStudy,Small,UsedPromo,FALSE,APAC,1,183233bf-40f2-4c50-8c09-730538eafc02
Cold Uutbound,HR,NeedsTraining,Medium,NoPromo,FALSE,EMEA,0,1b861801-455c-43b7-a09a-628ec2c08137
Organic,Management,NeedsTraining,Small,UsedPromo,FALSE,EMEA,1,3e261806-9a11-4eac-913b-eec05b9ea061
Cold Uutbound,Engineering,ContentPresentation,Large,NoPromo,FALSE,EMEA,0,4ad24285-676d-45f9-a10a-f29c7b8460ac
Event,Finance,FeatureRequest,Small,UsedPromo,TRUE,LATAM,0,10fe3dcc-77ec-4261-a4c9-d3db8eef17dc
Organic,Engineering,FeatureRequest,Small,NoPromo,TRUE,LATAM,1,884c75ff-56f4-47d4-95a7-2b480099c95e
Referral,Finance,ContentPresentation,Medium,NoPromo,TRUE,LATAM,1,acfea3fd-e34a-4bb9-843c-4b165a0b55d5
Event,Finance,NeedsTraining,Large,NoPromo,TRUE,LATAM,1,e1946e30-b153-4cb9-a8e5-35d7794ae355
Digital Ad,Engineering,NeedsCaseStudy,Large,NoPromo,TRUE,NAMER,0,23da9425-30f2-4735-b00f-dc8103d9c992
Organic,Finance,NeedsCaseStudy,Small,UsedPromo,FALSE,EMEA,1,b86f93eb-ec66-4859-91e3-599434766aaf
Cold Uutbound,Management,ContentPresentation,Large,NoPromo,FALSE,EMEA,0,1c93bd97-cbde-48df-ba98-62d3f40bd76e
Cold Uutbound,HR,FeatureRequest,Small,NoPromo,FALSE,NAMER,0,2480c408-a15a-45f8-b08c-6bc35b943c64
Digital Ad,Finance,ContentPresentation,Large,UsedPromo,FALSE,EMEA,0,ec4c270a-b03b-4a86-978c-59e3a295a3e1
Event,Engineering,FeatureRequest,Small,NoPromo,FALSE,LATAM,1,a4f63311-5079-4b00-a359-2a054c7c1edc
Event,Engineering,NeedsTraining,Large,UsedPromo,FALSE,NAMER,0,2afe518d-cf52-4ccc-af8a-f55df05acd14
Referral,Management,NeedsCaseStudy,Large,UsedPromo,TRUE,EMEA,0,d741c95a-066a-42c5-b37d-151cdb4bf3b5
Digital Ad,Management,ContentPresentation,Large,NoPromo,FALSE,APAC,0,0f50a440-5c47-4e07-b336-1ef8cda96a4c
Referral,Management,FeatureRequest,Medium,NoPromo,TRUE,APAC,1,b023d558-58bf-40c8-b288-afa6690e6059
Referral,Operations,NeedsCaseStudy,Small,UsedPromo,FALSE,LATAM,1,176f9e74-bb8a-4d26-a3ce-22c06ef83c38
Event,Marketing,ContentPresentation,Large,UsedPromo,TRUE,EMEA,1,23f8e821-851f-431a-a90d-b152e4df6359
Event,Management,NeedsTraining,Medium,UsedPromo,TRUE,NAMER,0,690dfe0d-ce88-4644-b8cd-c7dd1a5a75d8
Event,HR,FeatureRequest,Small,UsedPromo,FALSE,APAC,1,f31f5df9-fbdd-40d9-a6ea-9adfe5f33734
Cold Uutbound,Finance,NeedsCaseStudy,Small,NoPromo,TRUE,EMEA,0,8a0df706-bb71-434a-a7c9-3ba0ecbf6a00
Event,Engineering,ContentPresentation,Large,NoPromo,TRUE,LATAM,0,cd56c3d0-16ef-4539-ab64-c89f933f680a
Referral,Finance,NeedsTraining,Medium,UsedPromo,TRUE,APAC,1,9172fd00-8772-42dd-90aa-842adf06142b
Referral,Marketing,ContentPresentation,Large,UsedPromo,FALSE,APAC,1,fb9f3f98-9b2d-4a33-aac1-d7c5bc0017cd
Digital Ad,Engineering,NeedsTraining,Medium,NoPromo,TRUE,LATAM,0,b7aa6c97-96a5-459d-92d2-fb9be738b898
Digital Ad,Finance,NeedsCaseStudy,Small,NoPromo,FALSE,LATAM,0,f5bdc8ab-d0a7-4c55-b06a-781d07e098ce
Referral, Sales,NeedsTraining,Large,UsedPromo,TRUE,NAMER,0,a7f769b1-866e-4ec0-ae7e-ee0b88c43be4
Digital Ad,Management,FeatureRequest,Small,UsedPromo,TRUE,EMEA,1,e5d2f9cd-862a-4fd9-98f5-811e3525eeee
Digital Ad,Management,NeedsCaseStudy,Medium,NoPromo,TRUE,NAMER,0,520ba81a-508b-42f1-a517-2abcea65662c
Digital Ad,HR,NeedsCaseStudy,Small,NoPromo,TRUE,LATAM,0,bc8c4199-e752-47a9-89aa-6197b6975c0a
Organic, Sales,ContentPresentation,Large,UsedPromo,TRUE,NAMER,1,fdd8c28f-6fae-4c86-9d5f-4370593d817d
Cold Uutbound,Operations,NeedsTraining,Small,UsedPromo,TRUE,LATAM,1,0fd6d37b-466f-4473-a4f2-28586b9272ec
Event,Engineering,FeatureRequest,Small,UsedPromo,FALSE,EMEA,0,e323b0db-ed82-4435-af3e-54d842803993
Event,HR,ContentPresentation,Large,NoPromo,TRUE,NAMER,0,351bfa72-dcd4-4c26-96e3-1e101c5f5ee7
Cold Uutbound,Management,NeedsCaseStudy,Small,UsedPromo,TRUE,LATAM,1,566cc63a-7662-4655-be26-a27231491eb0
Organic,Marketing,ContentPresentation,Large,UsedPromo,TRUE,NAMER,1,3354dd0a-4119-427f-9f06-0db97cb7295e
Cold Uutbound,Operations,ContentPresentation,Small,UsedPromo,TRUE,NAMER,1,aeaee85a-c468-41f9-be5b-b2d047064f3b
Digital Ad,Marketing,NeedsCaseStudy,Medium,UsedPromo,TRUE,APAC,1,1c22f0a3-c425-4c37-926e-3c6bfe6bfe28
Digital Ad,HR,NeedsTraining,Large,NoPromo,FALSE,NAMER,0,59d3e9a7-ec63-4821-8e11-e5951f601fb2
Digital Ad,Marketing,FeatureRequest,Large,NoPromo,FALSE,NAMER,0,341a6173-ba85-4836-aab1-c697b53f5c9c
Referral,Engineering,NeedsTraining,Large,UsedPromo,TRUE,LATAM,1,b2734898-1aab-49df-afc9-0f0bcf2361c6
Event,Marketing,FeatureRequest,Small,NoPromo,TRUE,APAC,0,6d519084-6731-41df-b78f-ec4ecf6c1d9d
Digital Ad,HR,NeedsTraining,Medium,UsedPromo,TRUE,EMEA,1,af01cdbc-fdf3-4d96-8964-164cd99dd11d
Event,Operations,ContentPresentation,Medium,NoPromo,TRUE,APAC,0,a2834d2b-ae8c-463b-a40a-ae747edc1ca7
Referral,HR,ContentPresentation,Large,NoPromo,TRUE,NAMER,0,f132af2f-1c89-487d-9d94-82fca1feda31
Cold Uutbound, Sales,NeedsTraining,Large,UsedPromo,TRUE,LATAM,0,d852e262-0db0-410c-8d87-483e420862d8
Cold Uutbound,Finance,FeatureRequest,Small,NoPromo,TRUE,LATAM,0,dd779b1d-7c78-4bd8-b48b-86c4b3357ad3
Referral,Marketing,NeedsTraining,Small,UsedPromo,FALSE,APAC,1,a5bf298c-20e2-4051-b824-7899bd6b7a95
Event,HR,ContentPresentation,Medium,UsedPromo,TRUE,NAMER,1,75073652-2949-4120-9511-a70078de446b
Event, Sales,NeedsTraining,Small,UsedPromo,TRUE,LATAM,1,1a842151-d5a2-47ec-8ce6-a4504510fca9
Digital Ad,HR,NeedsTraining,Medium,NoPromo,TRUE,APAC,0,f823459f-1307-4f55-9ff2-4d8b2d9e1fa4
Referral,Finance,NeedsTraining,Small,UsedPromo,TRUE,LATAM,1,cd0ad5b3-b592-4bbe-93bd-a4c5f18a4fda
Referral,Operations,NeedsCaseStudy,Medium,UsedPromo,FALSE,NAMER,1,5c382c3b-db58-4892-b2e7-211059ab63c1
Organic, Sales,NeedsTraining,Medium,UsedPromo,TRUE,APAC,1,9680fb69-2d4c-420e-9470-4d03d9ffe899
Digital Ad,Marketing,ContentPresentation,Large,UsedPromo,FALSE,LATAM,1,a4dbdb42-50cf-4fc6-85aa-205a6643414d
Organic, Sales,FeatureRequest,Medium,NoPromo,FALSE,EMEA,0,102693fe-bd21-44f0-a99d-951137d43265
Digital Ad,HR,ContentPresentation,Large,NoPromo,TRUE,NAMER,0,f80dc67e-ac14-4178-a64b-f1ba018a6c38
Cold Uutbound,Finance,ContentPresentation,Small,NoPromo,FALSE,EMEA,0,5aa1c19d-c48f-4682-bbde-828ef8625c14
Digital Ad,HR,FeatureRequest,Medium,NoPromo,TRUE,EMEA,0,f46ce3ad-ce6e-4ad4-b7e6-9d706b37043d
Digital Ad,Management,NeedsCaseStudy,Medium,UsedPromo,TRUE,LATAM,1,2f0fe0b2-84cf-4f72-9faa-87e443de284d
Event, Sales,FeatureRequest,Small,UsedPromo,FALSE,LATAM,0,0559ed40-3ea0-4502-94e9-f05de32ed6bf
Referral,Marketing,NeedsCaseStudy,Small,UsedPromo,TRUE,NAMER,1,9ab9bd9a-817a-494e-ad59-db9157c21ed2
Referral,Operations,NeedsTraining,Medium,UsedPromo,TRUE,EMEA,1,de130bf4-4e06-4eca-9d16-893e1e70a133
Cold Uutbound,Finance,NeedsTraining,Small,UsedPromo,TRUE,LATAM,1,cd788d92-3d3f-4f15-b6b1-4b3cc441036f
Organic,Operations,FeatureRequest,Small,NoPromo,TRUE,LATAM,0,364c6372-c830-4183-a2c6-056f708af996
Event,Operations,NeedsTraining,Medium,UsedPromo,TRUE,EMEA,1,b7c72f05-8e8b-4cd4-a158-9e68679df984
Digital Ad,HR,NeedsTraining,Medium,UsedPromo,TRUE,APAC,0,06827fb1-78f8-4410-8280-335bcb04faf5
Referral,HR,NeedsCaseStudy,Medium,UsedPromo,FALSE,APAC,1,12964db4-7bd7-42b2-81c4-4cf7017db2c8
Referral,Engineering,FeatureRequest,Small,NoPromo,FALSE,LATAM,1,7de81811-8263-4c1e-93e0-fbf87d013584
Event,Engineering,NeedsCaseStudy,Large,UsedPromo,TRUE,LATAM,0,043fd2e8-0456-4ed9-9e02-3b832205d629
Organic, Sales,NeedsCaseStudy,Medium,NoPromo,FALSE,APAC,0,df2e346a-af94-410c-9645-007013fa730f
Cold Uutbound,Finance,ContentPresentation,Large,NoPromo,FALSE,LATAM,0,2cf07fd8-5b04-443b-a90d-ef33477fff0d
Referral,Management,FeatureRequest,Small,NoPromo,TRUE,APAC,0,928ac39c-d6e5-40bd-8521-6b57a9313890
Event, Sales,ContentPresentation,Large,NoPromo,TRUE,LATAM,1,55881f69-a26c-45ad-8cb0-6beffcbca154
Digital Ad,Engineering,NeedsTraining,Small,NoPromo,TRUE,APAC,0,a530233f-fde4-4329-8c3a-1ac7029583a3
Organic, Sales,ContentPresentation,Large,NoPromo,TRUE,LATAM,1,f692f346-5485-4729-bc7a-d8d96865ed47
Digital Ad,Engineering,FeatureRequest,Small,UsedPromo,FALSE,LATAM,0,d84d3093-91c6-4394-9967-2a0c38f4e22e
Referral,Finance,ContentPresentation,Large,UsedPromo,FALSE,APAC,1,41018b33-7be3-43bd-b469-bba8d1fa0a8c
Organic,Operations,ContentPresentation,Medium,NoPromo,TRUE,APAC,0,aa1ac1e8-d466-45e8-a572-f72eefc6c8ce
Digital Ad,Management,FeatureRequest,Small,UsedPromo,FALSE,EMEA,0,e0aedec4-9054-4811-84a3-89d9a49890fc
Digital Ad,Marketing,NeedsTraining,Large,NoPromo,TRUE,EMEA,0,de206e13-ce26-4750-be7b-6755d565e054
Event, Sales,ContentPresentation,Medium,UsedPromo,TRUE,APAC,1,c7d3401c-a865-4347-afe2-d3325efffd40
Digital Ad,HR,FeatureRequest,Small,NoPromo,FALSE,NAMER,0,1a8b6ee7-8c46-41d8-892a-d6fdf2fd1dcd
Organic, Sales,ContentPresentation,Medium,UsedPromo,TRUE,EMEA,1,4cf32b32-20d3-407d-b5cf-84a7c7bbb415
Cold Uutbound, Sales,NeedsCaseStudy,Medium,UsedPromo,TRUE,LATAM,1,389893f9-6632-4e63-9903-b2efc226a492
Organic,Engineering,ContentPresentation,Large,NoPromo,FALSE,LATAM,0,7b1758c8-0206-47f0-b27d-602d83dcebcf
Organic,Management,NeedsCaseStudy,Large,UsedPromo,TRUE,EMEA,1,2db0eb18-d95e-43f8-a91d-29d81d6e7049
Organic, Sales,ContentPresentation,Large,UsedPromo,FALSE,APAC,1,24dbb673-0a0b-467f-a969-351e07a0f94c
Referral,Finance,NeedsCaseStudy,Medium,UsedPromo,FALSE,NAMER,1,7610451c-c008-4e80-ac82-707606afe40b
Digital Ad,Operations,NeedsTraining,Medium,NoPromo,FALSE,NAMER,0,0ed57f50-dffe-4e70-b7e7-b6bec0a3cc97
Referral, Sales,NeedsCaseStudy,Medium,UsedPromo,FALSE,EMEA,1,faca83ee-8da7-42d1-87ee-63a6f7b9e60a
Event,Marketing,NeedsTraining,Small,UsedPromo,FALSE,NAMER,1,262133ee-4e96-4bfa-a411-6e6529581ed3
Event,Operations,NeedsTraining,Medium,UsedPromo,TRUE,APAC,1,c6ef6912-bfba-4003-97cc-cc6485482fcb
Event,Management,FeatureRequest,Large,NoPromo,FALSE,LATAM,0,8c30517a-44b2-4991-a4c9-90a740da6723
Event, Sales,FeatureRequest,Small,UsedPromo,FALSE,APAC,0,3513f671-c8db-4be5-821b-b8b92f3e7bb0
Cold Uutbound,Finance,NeedsTraining,Large,NoPromo,FALSE,NAMER,1,b0300681-f5f4-4355-89e7-a1b6ea1e323f
Organic,Finance,FeatureRequest,Small,UsedPromo,TRUE,NAMER,1,e454d9d5-0d98-4a41-a633-4b33dfd2b287
Cold Uutbound,HR,FeatureRequest,Small,NoPromo,FALSE,EMEA,0,7abb50ad-c3e4-4471-a9e8-2ed4849af749
Referral,HR,FeatureRequest,Small,NoPromo,FALSE,EMEA,0,f0a69600-12c3-49e2-a83e-4c447bc2a28b
Organic,Operations,NeedsCaseStudy,Medium,UsedPromo,TRUE,APAC,1,d1229935-44d7-4be7-9ad9-1ada5e3a1d7a
Referral,Marketing,NeedsCaseStudy,Large,UsedPromo,TRUE,APAC,1,4eccaf84-fc28-4b04-96ae-d4249a7e18a4
Cold Uutbound,Management,ContentPresentation,Large,NoPromo,FALSE,NAMER,0,975d454a-200b-4d4f-afd4-44b13af787a2
Organic,HR,NeedsCaseStudy,Medium,NoPromo,TRUE,EMEA,0,2e072ff1-0dd6-438e-a575-c194a8603bc7
Event,Operations,NeedsCaseStudy,Large,UsedPromo,TRUE,APAC,0,1504377a-ba1e-4ef3-a93d-a20464eb069a
Organic, Sales,NeedsCaseStudy,Large,UsedPromo,TRUE,NAMER,0,aa5e0348-93a7-41fd-b62b-013d3eaa040c
Digital Ad,HR,NeedsTraining,Medium,UsedPromo,FALSE,EMEA,0,513b5f7e-c951-4e3f-97d7-86466bc4044d
Referral, Sales,FeatureRequest,Small,NoPromo,TRUE,LATAM,0,8d6b58e8-18bd-4429-8a78-8bf983176f74
Event,Marketing,ContentPresentation,Medium,NoPromo,FALSE,EMEA,0,1fe84bea-f1ed-4c98-9298-123d8eb8cd61
Cold Uutbound,Management,NeedsTraining,Large,NoPromo,FALSE,NAMER,0,b327847e-330d-4556-a93f-e1be06b52bde
Organic,Marketing,FeatureRequest,Small,NoPromo,TRUE,LATAM,1,041e8883-cf3e-4de3-8567-9ce4744a1504
Referral,Management,NeedsCaseStudy,Small,UsedPromo,FALSE,NAMER,1,a5870951-0105-4373-8110-7618d714f839
Referral,Management,ContentPresentation,Medium,UsedPromo,TRUE,APAC,1,f290884b-498f-4151-bd88-6139a7d3d325
Cold Uutbound,Marketing,FeatureRequest,Small,UsedPromo,TRUE,LATAM,1,24775106-bc2a-4858-9d6b-c1f8431959b1
Event,Finance,FeatureRequest,Small,UsedPromo,TRUE,EMEA,0,c9fbf397-1c02-447a-b7c4-207f82e65cf1
Cold Uutbound,HR,NeedsCaseStudy,Medium,UsedPromo,TRUE,EMEA,0,1ce1676c-de09-4002-806f-ec2da756cfaa
Cold Uutbound,HR,FeatureRequest,Medium,NoPromo,FALSE,EMEA,0,baf5da87-f101-4301-9e7b-e581c970b31f
Digital Ad,Operations,FeatureRequest,Small,UsedPromo,TRUE,APAC,1,7b1604f1-4173-45cd-8c46-dac9006f9eff
Event, Sales,FeatureRequest,Medium,UsedPromo,TRUE,NAMER,0,90165907-ab14-4064-a5da-84cc0d83a7da
Digital Ad,Management,NeedsCaseStudy,Large,UsedPromo,FALSE,EMEA,1,fec70b8b-471c-4f2f-a8d8-38b433026cb8
Organic,Management,NeedsCaseStudy,Large,UsedPromo,TRUE,APAC,1,c4bcccc1-00d2-492d-9d87-6a68a5649c1e
Event, Sales,ContentPresentation,Large,UsedPromo,TRUE,APAC,1,2c9f7430-e019-427c-ba1f-25d2506e300b
Organic,HR,FeatureRequest,Small,NoPromo,FALSE,NAMER,0,8c4da2da-77fe-4ed9-b52d-da6442b2b2e2
Event, Sales,NeedsCaseStudy,Medium,NoPromo,TRUE,NAMER,0,1bf19d2d-4f3c-4659-9494-732252f175cc
Digital Ad,Marketing,NeedsCaseStudy,Large,UsedPromo,TRUE,EMEA,1,ba0a7609-e610-4021-b0c8-378ffa1454a9
Event,HR,FeatureRequest,Small,NoPromo,TRUE,APAC,0,96d1e2a9-5401-4dc6-9c43-42db3c08b827
Organic,Operations,NeedsCaseStudy,Large,NoPromo,FALSE,LATAM,1,df50fa87-aa67-4d7b-989c-46f94b223078
Cold Uutbound,Engineering,NeedsTraining,Medium,NoPromo,TRUE,NAMER,0,c6145cce-791c-4d68-9256-8c8b9503833e
Cold Uutbound,HR,FeatureRequest,Medium,NoPromo,TRUE,APAC,0,9c08b02e-eb91-46e9-8e6f-3b63b7af94f5
Digital Ad,Management,ContentPresentation,Medium,NoPromo,FALSE,EMEA,0,59a46e34-edaf-42e9-b326-27a7514a6336
Digital Ad, Sales,ContentPresentation,Small,UsedPromo,TRUE,APAC,1,6f78b5db-99eb-4d1c-aa17-54a2fc6668d4
Organic, Sales,FeatureRequest,Small,UsedPromo,TRUE,APAC,0,486b7d6e-7ad9-442d-b993-1da245421997
Event,Operations,ContentPresentation,Large,NoPromo,FALSE,LATAM,0,4852d452-1536-44d2-b07e-cf74707c4d73
Event,Finance,ContentPresentation,Medium,NoPromo,TRUE,APAC,0,e058c70e-e5f0-43f4-958e-82b5eb9bb5aa
Organic,Management,FeatureRequest,Medium,NoPromo,TRUE,NAMER,0,f73e6602-a550-4914-b137-6319e6c05f46
Event,HR,FeatureRequest,Small,UsedPromo,FALSE,APAC,1,38552d60-7c45-42a0-9318-f719a3c4c7f0
Referral,Engineering,NeedsCaseStudy,Small,NoPromo,TRUE,LATAM,1,cf27a309-f381-4fde-81be-08a2b28615e4
Organic,Marketing,FeatureRequest,Small,UsedPromo,FALSE,APAC,1,b6d20f60-f89c-4ef9-8730-3ea87be9a2cf
Organic,Finance,NeedsTraining,Medium,NoPromo,FALSE,LATAM,0,954dd2a1-c026-4a47-b0c8-e744535dafe9
Event, Sales,NeedsCaseStudy,Small,UsedPromo,FALSE,LATAM,1,6a4a1c74-b546-4f2c-b296-29b81e825508
Referral,Engineering,ContentPresentation,Large,UsedPromo,FALSE,EMEA,0,09847012-b906-4eb1-a070-f263556aae7b
Organic,Management,NeedsCaseStudy,Medium,UsedPromo,TRUE,LATAM,1,3b5764c3-9b79-463e-a630-6d31dcd2f53b
Event,Finance,FeatureRequest,Large,UsedPromo,FALSE,EMEA,0,952fd155-df31-4c89-b793-b21d46fc5f2d
Event,Management,FeatureRequest,Small,NoPromo,FALSE,APAC,0,cde194ae-c702-4550-9188-8262d4cbdd13
Digital Ad,Management,NeedsTraining,Small,UsedPromo,FALSE,LATAM,1,898a7772-e05a-40bf-9c32-e7c59ce0f9a2
Event,HR,NeedsCaseStudy,Small,NoPromo,FALSE,APAC,0,f1d5b8ca-81f2-48a8-9916-198538c028ba
Digital Ad,Engineering,NeedsTraining,Large,NoPromo,FALSE,APAC,0,f72cfc90-daaa-45c9-84a4-75d347c48ae8
Referral,HR,FeatureRequest,Small,UsedPromo,FALSE,EMEA,1,a7c4c7ee-ecbe-4cda-bb52-244ec172a028
Cold Uutbound,HR,FeatureRequest,Small,UsedPromo,FALSE,EMEA,0,10b5e7a3-f9db-40b1-87c1-d53f9a1823b1
Organic, Sales,NeedsTraining,Small,UsedPromo,FALSE,EMEA,1,5d1e037b-075d-4001-97d4-c8f111d59b9d
Event,Operations,NeedsCaseStudy,Large,NoPromo,FALSE,NAMER,0,f5a6e644-f72c-4cb7-9fab-46b3308c8244
Digital Ad, Sales,NeedsTraining,Large,NoPromo,TRUE,NAMER,0,67150482-967b-4ece-9697-2721e63bb253
Organic,Management,NeedsCaseStudy,Medium,UsedPromo,TRUE,EMEA,1,0261e060-805f-4152-8ad0-a20110d2a7b2
Cold Uutbound,Management,NeedsTraining,Small,UsedPromo,FALSE,LATAM,1,006889d7-d43a-46e8-a2de-ffc991151894
Event,Finance,ContentPresentation,Large,NoPromo,TRUE,NAMER,0,ae3339a8-3856-4423-992a-6f530b6b9b60
Cold Uutbound, Sales,NeedsCaseStudy,Large,NoPromo,FALSE,APAC,0,292c280f-5333-4a39-873e-755908697932
Event, Sales,NeedsCaseStudy,Large,NoPromo,TRUE,NAMER,1,3e04f87c-908e-46ad-a544-02d99522a4d1
Event,Operations,NeedsTraining,Large,NoPromo,TRUE,NAMER,0,9ac09dfe-59b7-4ce0-8d28-11f535935caf
Cold Uutbound,Marketing,ContentPresentation,Large,NoPromo,TRUE,EMEA,0,e672a8b8-29ee-4139-819a-673cbe6a595f
Referral,HR,ContentPresentation,Medium,NoPromo,FALSE,EMEA,1,cb697342-c25c-4301-9798-baa5bfdb3aa8
Organic,Marketing,NeedsTraining,Small,UsedPromo,TRUE,NAMER,1,dd6e4d8e-f28d-4839-bd32-9f440827e4d6
Digital Ad,Management,FeatureRequest,Small,NoPromo,TRUE,EMEA,0,9376171f-e8ee-4c45-9b1a-53a438c20df6
Cold Uutbound,Management,NeedsTraining,Large,NoPromo,TRUE,EMEA,0,b144601f-46e5-4c7e-adce-223a162575f6
Organic, Sales,NeedsTraining,Small,UsedPromo,TRUE,NAMER,1,e651a9ea-3b54-4013-a660-7ca0f0545fed
Event,Marketing,FeatureRequest,Small,UsedPromo,TRUE,LATAM,1,a1c18b31-4844-4b01-934e-6c9c0f65fa3e
Event,Marketing,NeedsTraining,Medium,UsedPromo,FALSE,LATAM,1,a0d2176b-9856-4040-8c2f-fff792d44a8d
Digital Ad,HR,NeedsCaseStudy,Large,NoPromo,TRUE,LATAM,1,3a4e8067-1f44-4312-9e06-e897cd3f8699
Organic,Finance,NeedsCaseStudy,Medium,NoPromo,FALSE,APAC,0,842945ef-35f0-471d-ba62-1bed5f60254f
Event,Operations,FeatureRequest,Small,UsedPromo,FALSE,LATAM,1,4a8f1d0a-c5a1-4906-b863-5fe235b8edd2
Digital Ad, Sales,NeedsTraining,Small,UsedPromo,FALSE,APAC,1,f10f310a-b85d-4b44-a4f2-63b8ffd29ba1
Cold Uutbound,Management,ContentPresentation,Medium,UsedPromo,FALSE,NAMER,1,89bd57cf-392e-4b15-ad80-8f1fd0b527b3
Event, Sales,NeedsTraining,Medium,UsedPromo,FALSE,APAC,0,307a9ef2-3d01-46a3-899b-d357b88ed0a6
Referral,Engineering,ContentPresentation,Small,NoPromo,TRUE,LATAM,1,974270a1-3222-44bc-8f33-4f2cafa12aed
Digital Ad,HR,NeedsTraining,Large,NoPromo,TRUE,NAMER,0,80398e86-e3cc-4d90-bb32-00853e3cbac1
Cold Uutbound, Sales,ContentPresentation,Small,UsedPromo,FALSE,APAC,1,774096f8-aeb9-4ecc-997e-6d6b3c39a914
Digital Ad, Sales,ContentPresentation,Large,NoPromo,FALSE,APAC,0,cef30b68-52a5-49a7-9c28-6a9d7ef09ea8
Digital Ad,Finance,NeedsCaseStudy,Large,NoPromo,TRUE,EMEA,0,40f453cf-1a14-4840-bd3a-49b999c725ed
Organic,Marketing,ContentPresentation,Medium,UsedPromo,TRUE,EMEA,1,85785b51-c2f2-4908-ba48-f42c3644d0d6
Digital Ad, Sales,FeatureRequest,Small,NoPromo,TRUE,APAC,1,1ba5c055-2a0c-47f5-a4b4-7331fa124b5f
Referral,Management,NeedsTraining,Medium,NoPromo,FALSE,NAMER,0,8e76567b-07d7-40ba-a33d-929d929f6142
Digital Ad,Management,NeedsCaseStudy,Small,UsedPromo,FALSE,LATAM,1,735124a7-ad73-4042-a99c-82563956a639
Event,HR,NeedsTraining,Large,NoPromo,TRUE,NAMER,1,d0d0943a-c479-4ada-b7fc-3f93879a7f22
